,Report_Period_Start,Report_Period_End,License_Number,Shelter_Name,Canine_starting_animal_count,Feline_starting_animal_count,Canine_stray_at_large,Feline_stray_at_large,Canine_relinquished_by_owner,Feline_relinquished_by_owner,Canine_intake_owner_intended_euthanasia,Feline_intake_owner_intended_euthanasia,Canine_transferred_in_from_agency,Feline_transferred_in_from_agency,Canine_other_intakes,Feline_other_intakes,Canine_adoption,Feline_adoption,Canine_returned_to_owner,Feline_returned_to_owner,Canine_transferred_to_another_agency,Feline_transferred_to_another_agency,Canine_returned_to_field,Feline_returned_to_field,Canine_other_live_outcome,Feline_other_live_outcome,Canine_died_in_care,Feline_died_in_care,Canine_lost_in_care,Feline_list_in_care,Canine_shelter_euthanasia,Feline_shelter_euthanasia,Canine_owner_intended_euthanasia,Feline_owner_intended_euthanasia
20,12/1/2021 0:00,12/31/2021 0:00,33105331,ALAPAHA ANIMAL CONTROL/SHELTER,5,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,1/1/2022 0:00,1/31/2022 0:00,33105331,ALAPAHA ANIMAL CONTROL/SHELTER,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2/1/2022 0:00,2/28/2022 0:00,33105331,ALAPAHA ANIMAL CONTROL/SHELTER,4,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0
23,7/1/2020 0:00,7/31/2020 0:00,339526,ATHENS CLARKE CO ANIMAL CONTROL,45,112,48,70,19,20,0,0,0,0,0,0,18,22,19,0,23,37,0,0,0,0,0,7,0,0,2,6,0,0
24,8/1/2020 0:00,8/31/2020 0:00,339526,ATHENS CLARKE CO ANIMAL CONTROL,48,126,53,88,17,28,0,0,0,5,5,1,25,47,16,0,29,63,0,0,0,0,0,3,3,0,2,9,0,0
25,9/1/2020 0:00,9/30/2020 0:00,339526,ATHENS CLARKE CO ANIMAL CONTROL,62,113,51,67,12,30,0,0,5,2,16,3,22,24,18,3,43,66,0,0,0,0,0,8,0,0,1,1,0,0
26,10/1/2020 0:00,10/31/2020 0:00,339526,ATHENS CLARKE CO ANIMAL CONTROL,46,138,25,71,9,13,0,0,3,5,40,10,14,43,20,1,41,49,0,0,0,0,0,5,0,0,3,2,0,0
27,11/1/2020 0:00,11/30/2020 0:00,339526,ATHENS CLARKE CO ANIMAL CONTROL,46,135,59,50,29,12,0,0,6,4,6,1,27,34,28,1,42,50,0,0,0,0,0,5,0,0,0,1,0,0
28,12/1/2020 0:00,12/31/2020 0:00,339526,ATHENS CLARKE CO ANIMAL CONTROL,51,117,72,48,13,3,0,0,0,0,15,0,27,25,24,0,34,99,0,0,0,0,3,2,0,0,0,2,0,0
29,1/1/2021 0:00,1/31/2021 0:00,339526,ATHENS CLARKE CO ANIMAL CONTROL,56,31,66,28,14,15,0,0,1,0,14,0,19,29,22,3,60,16,0,0,0,0,3,1,1,0,0,0,0,0
30,2/1/2021 0:00,2/28/2021 0:00,339526,ATHENS CLARKE CO ANIMAL CONTROL,49,26,52,29,18,12,0,0,1,0,0,0,13,9,11,1,48,22,0,0,0,0,0,0,0,0,2,1,0,0
31,3/1/2021 0:00,3/31/2021 0:00,339526,ATHENS CLARKE CO ANIMAL CONTROL,47,35,49,49,20,4,0,0,0,0,7,1,12,11,23,2,29,48,0,0,0,0,1,0,0,0,1,0,0,0
32,4/1/2021 0:00,4/30/2021 0:00,339526,ATHENS CLARKE CO ANIMAL CONTROL,54,28,42,70,19,29,0,0,1,0,7,0,13,8,22,6,41,54,0,0,0,0,0,1,0,0,3,4,0,0
33,5/1/2021 0:00,5/31/2021 0:00,339526,ATHENS CLARKE CO ANIMAL CONTROL,44,56,83,110,18,11,0,0,1,0,0,0,25,11,20,2,28,51,0,0,0,0,1,3,0,0,5,8,0,0
34,6/1/2021 0:00,6/30/2021 0:00,339526,ATHENS CLARKE CO ANIMAL CONTROL,77,108,60,172,25,30,0,0,1,0,16,12,20,21,24,1,59,89,0,0,0,0,1,10,0,0,5,7,0,0
35,7/1/2021 0:00,7/31/2021 0:00,339526,ATHENS CLARKE CO ANIMAL CONTROL,64,190,50,122,10,5,0,0,0,0,9,9,19,46,18,5,19,62,0,0,0,0,2,11,0,0,0,10,0,0
36,8/1/2021 0:00,8/31/2021 0:00,339526,ATHENS CLARKE CO ANIMAL CONTROL,82,184,61,73,16,13,0,0,5,0,5,1,21,55,12,1,35,28,0,0,0,0,0,5,0,1,1,6,0,0
37,9/1/2021 0:00,9/30/2021 0:00,339526,ATHENS CLARKE CO ANIMAL CONTROL,100,175,38,91,10,11,0,0,0,0,5,2,33,34,12,0,10,26,0,0,0,0,0,15,0,1,4,10,0,0
38,10/1/2021 0:00,10/31/2021 0:00,339526,ATHENS CLARKE CO ANIMAL CONTROL,99,191,55,48,8,12,0,0,0,2,7,0,27,38,11,1,28,42,0,0,0,0,0,7,1,0,2,3,0,0
39,11/1/2021 0:00,11/30/2021 0:00,339526,ATHENS CLARKE CO ANIMAL CONTROL,95,154,69,45,19,25,0,0,0,0,4,8,30,37,26,0,35,28,0,0,0,0,2,2,0,0,2,7,0,0
40,12/1/2021 0:00,12/31/2021 0:00,339526,ATHENS CLARKE CO ANIMAL CONTROL,93,165,47,25,9,7,0,0,0,1,6,7,25,60,10,1,37,45,0,0,0,0,1,2,0,0,6,0,0,0
41,1/1/2022 0:00,1/31/2022 0:00,339526,ATHENS CLARKE CO ANIMAL CONTROL,75,86,62,38,19,9,0,0,4,0,3,1,32,36,15,3,34,34,0,0,0,0,2,2,0,0,0,5,0,0
42,2/1/2022 0:00,2/28/2022 0:00,339526,ATHENS CLARKE CO ANIMAL CONTROL,82,57,72,43,15,16,0,0,1,3,6,0,15,11,16,2,51,46,0,0,0,0,2,0,0,0,4,1,0,0
43,7/1/2020 0:00,7/31/2020 0:00,3319357,AUGUSTA ANIMAL SERVICES,86,131,129,142,130,42,3,0,0,0,0,0,84,49,32,1,66,42,0,0,0,1,0,1,0,0,73,122,3,0
44,8/1/2020 0:00,8/31/2020 0:00,3319357,AUGUSTA ANIMAL SERVICES,90,99,126,137,83,40,0,1,0,0,4,7,107,31,22,4,38,68,0,0,0,0,0,0,0,0,44,73,0,1
45,9/1/2020 0:00,9/30/2020 0:00,3319357,AUGUSTA ANIMAL SERVICES,92,107,118,127,72,63,3,3,0,0,7,8,85,17,24,0,36,31,0,0,0,1,2,1,0,0,50,115,3,3
46,10/1/2020 0:00,10/31/2020 0:00,3319357,AUGUSTA ANIMAL SERVICES,92,140,64,76,27,8,2,2,0,0,9,0,50,16,17,2,7,49,0,0,0,0,0,0,0,0,19,60,2,2
47,11/1/2020 0:00,11/30/2020 0:00,3319357,AUGUSTA ANIMAL SERVICES,99,97,131,128,59,53,1,1,0,0,0,1,78,49,21,1,62,25,0,0,0,0,1,1,0,0,23,85,1,1
48,12/1/2020 0:00,12/31/2020 0:00,3319357,AUGUSTA ANIMAL SERVICES,104,118,138,94,73,40,3,0,0,0,2,1,116,68,19,1,37,14,0,0,0,2,1,0,0,0,55,90,3,0
49,1/1/2021 0:00,1/31/2021 0:00,3319357,AUGUSTA ANIMAL SERVICES,89,78,104,70,74,7,3,0,0,0,0,0,75,56,19,1,36,8,0,0,1,2,1,3,0,0,58,49,3,0
50,2/1/2021 0:00,2/28/2021 0:00,3319357,AUGUSTA ANIMAL SERVICES,77,36,103,82,50,31,2,1,0,0,0,0,64,37,19,1,33,2,0,0,0,0,0,0,0,0,40,57,2,1
51,3/1/2021 0:00,3/31/2021 0:00,3319357,AUGUSTA ANIMAL SERVICES,74,52,107,103,68,58,4,0,0,0,0,2,67,30,26,4,45,21,0,0,2,0,0,0,0,0,46,63,4,0
52,4/1/2021 0:00,4/30/2021 0:00,3319357,AUGUSTA ANIMAL SERVICES,63,97,103,143,50,21,5,2,0,0,0,13,72,17,24,6,12,68,0,0,0,2,1,2,0,0,43,79,5,2
53,5/1/2021 0:00,5/31/2021 0:00,3319357,AUGUSTA ANIMAL SERVICES,64,100,97,138,83,58,1,3,0,0,4,0,63,40,19,0,41,49,0,0,0,2,1,0,0,0,52,90,1,3
54,6/1/2021 0:00,6/30/2021 0:00,3319357,AUGUSTA ANIMAL SERVICES,72,115,99,139,69,56,1,3,0,0,19,1,62,38,19,0,40,0,0,0,4,0,2,3,0,0,52,82,1,3
55,7/1/2021 0:00,7/31/2021 0:00,3319357,AUGUSTA ANIMAL SERVICES,80,188,122,136,95,67,4,2,0,0,0,13,73,69,30,0,32,9,0,0,0,4,0,9,0,0,61,137,4,2
56,8/1/2021 0:00,8/31/2021 0:00,3319357,AUGUSTA ANIMAL SERVICES,101,176,168,115,80,34,4,1,0,0,30,6,65,70,32,0,53,43,0,0,1,4,0,13,0,0,108,71,4,1
57,9/1/2021 0:00,9/30/2021 0:00,3319357,AUGUSTA ANIMAL SERVICES,120,130,129,161,91,52,1,12,0,0,12,8,58,29,27,0,45,39,0,0,0,4,0,9,0,0,88,123,1,12
58,10/1/2021 0:00,10/31/2021 0:00,3319357,AUGUSTA ANIMAL SERVICES,134,147,146,147,72,23,5,0,0,0,19,0,74,37,27,5,49,25,0,0,0,3,3,9,0,0,97,90,5,0
59,11/1/2021 0:00,11/30/2021 0:00,3319357,AUGUSTA ANIMAL SERVICES,121,148,121,134,44,31,3,0,0,0,6,3,76,27,19,5,13,29,0,0,0,2,1,10,0,0,90,113,3,0
60,12/1/2021 0:00,12/31/2021 0:00,3319357,AUGUSTA ANIMAL SERVICES,93,130,122,104,41,10,3,0,0,0,14,2,62,35,24,1,8,15,0,0,0,4,1,2,0,0,53,71,3,0
61,1/1/2022 0:00,1/31/2022 0:00,3319357,AUGUSTA ANIMAL SERVICES,122,118,160,65,61,38,3,0,0,0,31,23,103,55,48,1,30,24,0,0,0,1,0,6,0,0,76,70,3,0
62,2/1/2022 0:00,2/28/2022 0:00,3319357,AUGUSTA ANIMAL SERVICES,117,87,129,94,86,16,7,1,0,0,20,6,70,36,35,2,33,12,0,0,0,3,0,0,0,0,65,64,7,1
63,7/1/2020 0:00,7/31/2020 0:00,3321946,Baldwin County Animal Control,64,65,31,27,21,0,0,0,0,0,7,13,0,1,6,0,35,24,0,0,0,0,1,1,0,0,2,1,0,0
64,8/1/2020 0:00,8/31/2020 0:00,3321946,Baldwin County Animal Control,37,63,27,6,15,4,0,0,0,0,2,23,5,2,3,0,24,23,0,0,0,0,0,0,0,0,5,2,0,0
65,9/1/2020 0:00,9/30/2020 0:00,3321946,Baldwin County Animal Control,44,66,12,5,5,0,0,0,0,0,5,2,0,2,1,1,23,6,0,0,0,0,0,0,0,0,5,0,0,0
66,10/1/2020 0:00,10/31/2020 0:00,3321946,Baldwin County Animal Control,37,84,10,21,8,11,0,0,1,0,2,19,2,5,5,0,16,88,0,0,0,0,0,1,0,0,1,0,0,0
67,11/1/2020 0:00,11/30/2020 0:00,3321946,Baldwin County Animal Control,37,43,7,13,15,0,0,0,0,0,1,13,1,0,2,0,21,1,0,0,0,0,0,0,0,0,4,0,0,0
68,12/1/2020 0:00,12/31/2020 0:00,3321946,Baldwin County Animal Control,32,64,12,0,43,0,0,0,0,0,3,1,2,3,4,0,45,12,0,0,0,5,0,0,0,0,3,1,0,0
69,1/1/2021 0:00,1/31/2021 0:00,3321946,Baldwin County Animal Control,37,51,15,1,29,12,0,0,0,0,13,4,9,2,2,0,42,20,0,0,0,0,0,0,0,0,4,0,0,0
70,2/1/2021 0:00,2/28/2021 0:00,3321946,Baldwin County Animal Control,36,46,13,2,13,5,0,0,0,0,14,4,2,0,5,0,35,16,0,0,0,0,0,0,0,0,0,0,0,0
71,3/1/2021 0:00,3/31/2021 0:00,3321946,Baldwin County Animal Control,34,44,19,6,15,1,0,0,0,0,4,25,1,4,6,1,33,16,0,0,0,0,0,0,0,0,1,2,0,0
72,4/1/2021 0:00,4/30/2021 0:00,3321946,Baldwin County Animal Control,35,50,13,11,31,15,0,0,0,0,1,0,4,6,1,2,34,6,0,0,0,0,0,1,0,0,1,0,0,0
73,5/1/2021 0:00,5/31/2021 0:00,3321946,Baldwin County Animal Control,39,75,27,20,19,1,0,0,0,0,3,5,2,3,3,0,32,2,0,0,0,0,0,1,0,0,3,1,0,0
74,6/1/2021 0:00,6/30/2021 0:00,3321946,Baldwin County Animal Control,48,96,16,4,6,0,0,0,0,0,13,7,0,4,7,0,24,16,0,0,0,0,2,1,0,0,0,0,0,0
75,8/1/2021 0:00,8/31/2021 0:00,3321946,Baldwin County Animal Control,44,88,37,20,8,0,1,0,0,0,6,17,3,1,5,3,28,12,0,0,0,0,0,1,0,0,2,0,1,0
76,9/1/2021 0:00,9/30/2021 0:00,3321946,Baldwin County Animal Control,59,111,9,4,4,0,0,0,0,0,0,4,2,2,1,0,21,42,0,0,0,0,0,0,0,0,7,4,0,0
77,10/1/2021 0:00,10/31/2021 0:00,3321946,Baldwin County Animal Control,43,71,37,9,1,1,1,0,0,0,16,13,6,4,6,0,28,5,0,0,0,0,2,1,0,0,6,0,1,0
78,11/1/2021 0:00,11/30/2021 0:00,3321946,Baldwin County Animal Control,46,84,7,15,5,0,0,0,0,0,39,4,0,0,12,0,25,19,0,0,2,9,1,1,0,0,6,3,0,0
79,12/1/2021 0:00,12/31/2021 0:00,3321946,Baldwin County Animal Control,51,72,17,7,4,8,2,0,0,0,18,3,2,2,7,0,15,12,0,0,0,0,1,1,0,0,6,0,2,0
80,1/1/2022 0:00,1/31/2022 0:00,3321946,Baldwin County Animal Control,53,70,19,19,13,2,0,0,0,0,19,2,12,7,2,0,35,33,0,0,0,0,2,1,0,0,4,1,0,0
81,2/1/2022 0:00,2/28/2022 0:00,3321946,Baldwin County Animal Control,46,54,20,5,21,4,0,0,0,0,0,0,11,6,6,1,49,6,0,0,0,0,1,0,0,0,2,2,0,0
82,7/1/2020 0:00,7/31/2020 0:00,3341750,Barrow County Animal Control,26,73,29,102,13,22,2,0,0,0,0,0,7,15,15,1,18,79,0,0,0,0,3,5,0,0,0,10,1,0
83,8/1/2020 0:00,8/31/2020 0:00,3341750,Barrow County Animal Control,26,86,32,118,29,32,1,0,0,0,0,0,8,42,9,1,44,77,0,0,0,0,0,3,0,0,2,5,1,0
84,9/1/2020 0:00,9/30/2020 0:00,3341750,Barrow County Animal Control,3,41,49,107,22,16,0,0,0,0,0,0,7,39,22,2,41,66,0,0,0,0,0,2,0,0,3,3,0,0
85,10/1/2020 0:00,10/31/2020 0:00,3341750,Barrow County Animal Control,22,109,45,95,13,13,0,0,0,0,0,0,8,44,14,0,31,87,0,0,0,0,0,2,0,0,2,5,0,0
86,11/1/2020 0:00,11/30/2020 0:00,3341750,Barrow County Animal Control,23,88,40,99,31,4,0,0,0,0,0,0,2,36,17,0,42,46,0,0,0,0,0,4,0,0,2,2,0,0
87,12/1/2020 0:00,12/31/2020 0:00,3341750,Barrow County Animal Control,30,98,46,52,20,12,1,0,0,0,0,0,9,43,26,1,29,59,0,0,0,0,1,0,0,0,4,2,1,0
88,1/1/2021 0:00,1/31/2021 0:00,3341750,Barrow County Animal Control,22,56,42,26,36,4,0,0,0,0,0,0,7,31,16,0,44,29,0,0,0,0,1,2,0,0,2,0,0,0
89,2/1/2021 0:00,2/28/2021 0:00,3341750,Barrow County Animal Control,30,24,49,50,21,0,0,0,0,0,0,0,10,32,23,1,37,11,0,0,0,0,0,2,0,0,3,2,0,0
90,3/1/2021 0:00,3/31/2021 0:00,3341750,Barrow County Animal Control,17,26,41,66,19,3,0,0,0,0,0,0,11,36,7,0,38,20,0,0,0,0,0,1,0,0,4,3,0,0
91,4/1/2021 0:00,4/30/2021 0:00,3341750,Barrow County Animal Control,27,35,28,77,34,38,0,0,0,0,0,0,8,53,10,2,39,50,0,0,0,0,0,0,0,0,6,2,0,0
92,5/1/2021 0:00,5/31/2021 0:00,3341750,Barrow County Animal Control,15,49,32,144,20,88,1,0,0,0,0,0,7,52,11,1,22,27,0,0,0,0,0,2,0,0,1,7,1,0
93,6/1/2021 0:00,6/30/2021 0:00,3341750,Barrow County Animal Control,43,232,47,179,2,0,2,0,0,0,0,0,12,87,19,1,16,34,0,0,0,0,3,19,0,0,1,2,2,0
94,7/1/2021 0:00,7/31/2021 0:00,3341750,Barrow County Animal Control,43,232,60,95,7,26,1,0,0,0,0,0,16,79,30,2,16,32,0,0,0,0,3,5,0,0,3,7,1,0
95,8/1/2021 0:00,8/31/2021 0:00,3341750,Barrow County Animal Control,38,230,58,117,24,21,0,0,0,0,0,0,14,116,25,0,20,22,0,0,0,0,3,3,0,0,4,6,0,0
96,9/1/2021 0:00,9/30/2021 0:00,3341750,Barrow County Animal Control,51,222,54,56,27,27,0,0,0,0,0,0,18,39,10,0,47,22,0,0,0,0,0,14,0,0,7,10,0,0
97,10/1/2021 0:00,10/31/2021 0:00,3341750,Barrow County Animal Control,47,146,44,24,47,24,0,0,0,0,0,0,21,68,17,0,14,16,0,0,0,0,0,14,0,0,2,3,0,0
98,11/1/2021 0:00,11/30/2021 0:00,3341750,Barrow County Animal Control,64,181,47,50,13,13,0,0,0,0,0,0,25,41,14,1,17,36,0,0,0,0,0,5,0,0,5,7,0,0
99,12/1/2021 0:00,12/31/2021 0:00,3341750,Barrow County Animal Control,60,143,53,34,18,6,0,0,0,0,0,0,18,76,24,0,24,30,0,0,0,0,0,2,0,1,3,2,0,0
100,1/1/2022 0:00,1/31/2022 0:00,3341750,Barrow County Animal Control,61,80,48,28,82,8,1,0,0,0,0,0,23,30,27,1,90,19,0,0,0,0,3,3,0,0,5,4,1,0
101,2/1/2022 0:00,2/28/2022 0:00,3341750,Barrow County Animal Control,63,51,75,46,31,9,1,0,0,0,0,0,15,27,18,2,28,14,0,0,0,0,0,0,0,1,2,8,1,0
102,7/1/2020 0:00,7/31/2020 0:00,3320763,BARTOW COUNTY ANIMAL SHELTER,19,14,50,71,70,93,0,0,0,0,10,16,0,0,14,0,111,192,0,0,4,4,0,1,0,0,2,7,0,0
103,8/1/2020 0:00,8/31/2020 0:00,3320763,BARTOW COUNTY ANIMAL SHELTER,48,8,79,38,49,105,0,0,0,0,17,10,0,0,30,2,97,155,0,0,4,4,0,3,0,0,4,4,0,0
104,9/1/2020 0:00,9/30/2020 0:00,3320763,BARTOW COUNTY ANIMAL SHELTER,33,8,47,59,57,31,0,0,1,0,15,6,0,0,25,0,103,89,0,0,0,0,1,0,0,0,6,7,0,0
105,10/1/2020 0:00,10/31/2020 0:00,3320763,BARTOW COUNTY ANIMAL SHELTER,19,13,55,70,46,115,0,0,0,0,18,8,0,0,21,3,102,175,0,0,0,0,1,0,0,1,8,5,0,0
106,11/1/2020 0:00,11/30/2020 0:00,3320763,BARTOW COUNTY ANIMAL SHELTER,29,12,85,52,42,52,0,0,0,0,26,2,0,0,36,0,108,109,0,0,0,0,0,0,0,0,0,2,0,0
107,12/1/2020 0:00,12/31/2020 0:00,3320763,BARTOW COUNTY ANIMAL SHELTER,15,5,42,28,29,72,0,0,0,0,16,3,0,0,28,2,69,106,0,0,0,0,0,0,0,0,4,2,0,0
108,1/1/2021 0:00,1/31/2021 0:00,3320763,BARTOW COUNTY ANIMAL SHELTER,24,4,82,39,56,29,0,0,0,0,14,3,0,0,33,1,109,67,0,0,0,0,0,0,0,0,1,4,0,0
109,2/1/2021 0:00,2/28/2021 0:00,3320763,BARTOW COUNTY ANIMAL SHELTER,19,8,45,42,37,33,0,0,0,0,22,0,0,0,26,0,75,70,0,0,0,0,0,0,0,0,6,1,0,0
110,3/1/2021 0:00,3/31/2021 0:00,3320763,BARTOW COUNTY ANIMAL SHELTER,26,6,61,26,74,42,0,0,0,0,12,5,0,0,32,2,102,69,0,0,0,0,0,0,0,0,5,2,0,0
111,4/1/2021 0:00,4/30/2021 0:00,3320763,BARTOW COUNTY ANIMAL SHELTER,36,4,55,60,50,50,0,0,0,0,12,0,0,0,21,1,81,108,0,0,0,0,0,0,0,0,5,3,0,0
112,5/1/2021 0:00,5/31/2021 0:00,3320763,BARTOW COUNTY ANIMAL SHELTER,42,13,62,122,41,90,0,0,0,0,22,5,0,0,29,1,92,203,0,0,0,0,0,0,0,0,5,3,0,0
113,6/1/2021 0:00,6/30/2021 0:00,3320763,BARTOW COUNTY ANIMAL SHELTER,50,24,84,168,79,112,0,0,0,0,9,7,0,0,38,2,125,257,0,0,0,0,0,0,0,0,1,16,0,0
114,7/1/2021 0:00,7/31/2021 0:00,3320763,BARTOW COUNTY ANIMAL SHELTER,56,14,86,184,56,79,0,0,0,0,14,1,0,0,32,4,112,256,0,0,0,0,0,3,0,0,5,11,0,0
115,8/1/2021 0:00,8/31/2021 0:00,3320763,BARTOW COUNTY ANIMAL SHELTER,25,5,57,151,23,80,0,0,0,0,13,1,0,0,23,1,93,230,0,0,0,0,1,0,0,0,7,10,0,0
116,9/1/2021 0:00,9/30/2021 0:00,3320763,BARTOW COUNTY ANIMAL SHELTER,47,10,70,163,20,39,0,0,0,0,10,0,0,0,30,2,42,191,0,0,0,0,0,0,0,0,6,4,0,0
117,10/1/2021 0:00,10/31/2021 0:00,3320763,BARTOW COUNTY ANIMAL SHELTER,72,15,83,134,59,48,0,0,0,0,7,1,0,0,23,6,95,161,0,0,0,0,0,0,0,0,5,9,0,0
118,11/1/2021 0:00,11/30/2021 0:00,3320763,BARTOW COUNTY ANIMAL SHELTER,60,6,63,131,61,32,0,0,0,0,17,3,0,0,22,4,122,162,0,0,0,0,0,1,0,0,8,7,0,0
119,12/1/2021 0:00,12/31/2021 0:00,3320763,BARTOW COUNTY ANIMAL SHELTER,66,6,75,67,60,51,0,0,0,0,8,0,0,0,22,2,108,113,0,0,0,0,1,0,0,0,9,2,0,0
120,1/1/2022 0:00,1/31/2022 0:00,3320763,BARTOW COUNTY ANIMAL SHELTER,13,0,57,28,24,26,0,0,0,0,20,1,0,0,19,1,115,57,0,0,0,0,0,0,0,0,17,3,0,0
121,2/1/2022 0:00,2/28/2022 0:00,3320763,BARTOW COUNTY ANIMAL SHELTER,18,1,24,7,7,0,0,0,0,0,9,0,0,0,12,0,19,3,0,0,0,0,0,0,0,0,4,3,0,1
122,7/1/2020 0:00,7/31/2020 0:00,332584,"BAXLEY ANIMAL CONTROL, CITY OF",5,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,8/1/2020 0:00,8/31/2020 0:00,332584,"BAXLEY ANIMAL CONTROL, CITY OF",10,0,10,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
124,9/1/2020 0:00,9/30/2020 0:00,332584,"BAXLEY ANIMAL CONTROL, CITY OF",11,0,11,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,10/1/2020 0:00,10/31/2020 0:00,332584,"BAXLEY ANIMAL CONTROL, CITY OF",26,0,26,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0
